	Id	ParentId	Level	DepthInKind	BlockCode
23665	464248136	1079699653	3	3	
23666	542904305	464248136	4	1	XH41C5
23667	1903052817	464248136	4	1	XH3Y57
23668	902114904	464248136	4	1	XH7M44
23669	1839274787	464248136	4	1	XH6TQ7
23670	748282598	464248136	4	1	XH0B58
23671	783030578	464248136	4	1	XH6738
23672	1847417141	464248136	4	1	XH15U1
23673	887826408	464248136	4	1	XH1L48
23674	1580118719	464248136	4	1	XH8FZ9
23675	1354083954	464248136	4	1	XH59V4
23676	1288818911	464248136	4	1	XH9HV1
23677	2104197781	464248136	4	1	XH4101
23678	1983715813	2104197781	2	2	
23679	1591650777	1983715813	3	3	
23680	1322813969	1591650777	4	1	XH09A9
23681	382901168	1591650777	4	1	XH2XW8
23682	1212072765	1983715813	3	3	
23683	1716531235	1212072765	4	1	XH8V95
23684	1649022573	1212072765	4	1	XH90D3
23685	1878363789	1649022573	2	2	
23686	1799887027	1878363789	3	3	
23687	1803854541	1799887027	4	1	XH2SJ1
23688	877065198	1799887027	4	1	XH0PH8
23689	467923410	1799887027	4	1	XH7TB0
23690	1583783465	1799887027	4	1	XH5GN5
23691	506603200	1799887027	4	1	XH3TE0
23692	1257531697	1799887027	4	1	XH30M7
23693	236799898	1799887027	4	1	XH4E98
23694	385545588	1799887027	4	1	XH1PL8
23695	15079711	1799887027	4	1	XH4G31
23696	815250037	1799887027	4	1	XH3C77
23697	559791414	1799887027	4	1	XH4VB4
23698	292443838	1799887027	4	1	XH7WX8
23699	1642921265	1799887027	4	1	XH17C5
23700	982727214	1799887027	4	1	XH1054
